city,places ,peak,moderate,off
leh,"['Leh Palace', 'Shanti Stupa', 'Gurudwara Pathar Sahib', 'Spituk Gompa', 'Stok Palace Museum', 'Alchi Monastery Near Leh', 'Magnetic Hill']",Mar-Jun,Sep-Feb,Jul-Aug
baroda,"['Sayaji Baug', 'EME Temple', 'Ajwa World', 'Laxmi Vilas Palace', 'Kirti Mandir', 'Sursagar Lake', 'Baroda Prints']",[],[],[]
rishikesh,"['Laxman Jhula', 'Rajaji National Park', 'Triveni Ghat', 'Neelkanth Mahadev Temple', 'Parmarth Niketan', 'Vashishtha Guha Temple', 'The Beatles Ashram', 'Tera Manzil', 'Little Buddha Cafe', 'Kaudiyala', 'Ram Jhula', 'Neergarh Waterfall', 'Vashistha Cave', 'Kunjapuri Devi Temple']",Oct-Feb,Mar-May,Jun-Sep
ooty,"['Botanical Garden', 'Pykara Waterfalls', 'Doddabetta Peak', 'Elk Hill Murugan Temple', 'Ooty Lake', 'Fernhills Palace', 'Tea Museum', 'Mudumalai National Park, Tamil Nadu']",Oct-Mar,Apr-May,Jun-Sep
goa,"['Aguada Fort', 'Basilica of Bom Jesus', 'Dudhsagar Waterfalls', 'Baga beach, Goa', 'Our Lady of the Immaculate Conception Church', 'Calangute Beach', 'Se Cathedral', 'Chapora Fort', 'Anjuna Flea Market', 'Anjuna Beach', 'Candolim Beach', 'Vagator Beach', 'Palolem Beach', 'Salaulim Dam', 'Morjim Beach', 'Baina Beach', 'Querim Beach', 'Majorda Beach', 'Agonda Beach', 'Varca Beach', 'Butterfly Beach', 'Netravali Bubbling Lake', 'Bhagwan Mahaveer Wildlife Sanctuary', 'Indian Naval Aviation Museum', 'Arambol Beach']",Nov-Mar,Jul-Oct,Apr-Jun
alleppey,"['Ambalapuzha Sree Krishna Temple Alleppey', 'Visit Alappuzha Lighthouse', 'Tour Krishnapuram Palace', 'Explore the Backwaters', 'Relax at the Alleppey Beach', 'Enjoy Soothing Ayurvedic Therapies', 'Visit St Marys Forane Church', 'Kuttanad, Kerala', 'Shopping Spree In Alleppey']",Nov-Feb,Mar-Apr,May-Oct
darjeeling,"['Padmaja Naidu Himalayan Zoological Park Darjeeling', 'Batasia Loop', 'Japanese Peace Pagoda', 'Himalayan Mountaineering Institute', 'Tiger Hill', 'Ghoom Monastery', 'Sandakphu, Darjeeling', 'Lepchajagat, West Bengal', 'Dhirdham Temple']",Apr-Jun,Jul-Nov,Oct-Mar
shimla,"['Christ Church', 'Viceregal Lodge', 'Kalibari Temple', 'The Ridge of Shimla', 'Green Valley', 'Jhakoo Hill', ""Johnnie's Wax Museum"", 'Annandale']",Mar-Jun,Oct-Feb,Jul-Sep
auli,"['Artificial Lake Auli', 'Kwani Bugyal Auli', 'Experience Skiing amidst Snow-Clad Mountains', 'Visit Nanda Devi National Park', 'Trek to Gurso Bugyal', 'Seek Blessings at Narsimha Temple', 'Experience the Ropeway Cable Car Ride']",Oct-Feb,Mar-Jun,Jul-Nov
munnar,"['Echo Point Near Munnar', 'Eravikulam National Park', 'Pothamedu View Point', 'Photo Point', 'Attukal Waterfalls', 'Chinnakanal Waterfalls', 'Kundala Dam Lake', 'Lockheart Gap', 'Trek to the Anamudi Peak', 'Chandys Windy Woods', 'Avondale Cottage', 'Talayar Bungalow', 'Dream Catcher Plantation', 'Munnar Discovery Tent Stay', 'Boating in Mattupetty Dam', 'Visit the Tea Museum', 'Go for Rock Climbing', 'Elephant Safari at Carmelagiri Park', 'Relishing Kerala Sadhya', 'Eravikulam National Park', 'Trek to the Anamudi Peak', 'Tea Tales', 'Relishing Kerala Sadhya', 'Hotel Gurubhavan', 'Hotel Sri Nivas Restaurant', 'Copper Castle', 'Vattavada', 'Kanthalloor', 'Seetha Devi Lake', 'Marayur', 'Pampadum Shola National Park', 'Kolukkumalai Tea Estate', 'Boating in Mattupetty Dam', 'Go for Rock Climbing', 'Elephant Safari at Carmelagiri Park', 'Munnar Discovery Tent Stay']",Sep-Mar,Apr-May,Jun-Aug
